Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Pre-treatment_Post-treatment,0.062937298,Otu00005,0.009023439,0.016542971,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.105862319,0.053845103,0.006633867,0.007233581
Pre-treatment_Post-treatment,0.044098137,Otu00001,0.007058332,0.016542971,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.000104221,0.000233045,0.069785238,0.012712855
Pre-treatment_Post-treatment,0.043165302,Otu00012,0.008815858,0.016542971,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.004310763,0.003722942,0.07252078,0.028538051
Pre-treatment_Post-treatment,0.042692213,Otu00014,0.005345677,0.016542971,Firmicutes - Bacilli - Lactobacillales - Streptococcaceae - Lactococcus,0,0,0.067444908,0.023068542
Pre-treatment_Post-treatment,0.038324978,Otu00004,0.009023439,0.016542971,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.051426305,0.009472008,0.112074617,0.026602158
Pre-treatment_Post-treatment,0.025201567,Otu00010,0.009023439,0.016542971,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium,0.011356232,0.006515581,0.051182388,0.013731813
Pre-treatment_Post-treatment,0.066713217,Otu00013,0.071369011,0.112151303,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.107289086,0.068810121,0.003259346,0.004538821
Pre-treatment_Post-treatment,0.025813089,Otu00003,0.093692619,0.128827352,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.090216242,0.032436097,0.052858178,0.017596564
Pre-treatment_Post-treatment,0.071925964,Otu00002,0.117185087,0.143226218,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.019988555,0.013689668,0.125799994,0.091084191
Pre-treatment_Post-treatment,0.031204679,Otu00021,0.402783694,0.443062064,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.048879625,0.109298164,0.000315129,0.000287675
Pre-treatment_Post-treatment,0.040191626,Otu00009,0.699853937,0.699853937,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.056210526,0.125690558,0.012174925,0.016780419
